date	collect	ordering	recieve	testresult	verified
1392958800000	7	3	14	13	3
1392958860000	3	5	3	3	14
1392958920000	6	8	12	3	4
1392958980000	4	8	6	3	7
1392959040000	3	3	12	3	9
1392959100000	4	5	13	14	12
1392959160000	7	8	8	13	8
1392959220000	12	3	3	3	4
1392959280000	3	3	12	5	8
1392959340000	4	5	3	9	13
1392959400000	3	13	4	13	11
1392959460000	9	12	8	13	12
1392959520000	3	11	6	3	13
1392959580000	4	7	6	12	6
1392959640000	5	6	13	7	9
1392959700000	11	14	6	8	12
1392959760000	14	13	6	13	4
1392959820000	7	4	13	8	4
1392959880000	11	4	13	11	5
1392959940000	11	6	11	13	3
1392960000000	3	14	10	9	9
1392960060000	12	3	3	12	4
1392960120000	3	12	12	5	13
1392960180000	12	8	3	11	5
1392960240000	6	8	14	5	5
1392960300000	6	10	3	12	7
1392960360000	5	12	11	8	11
1392960420000	11	7	6	13	12
1392960480000	10	4	9	10	3
1392960540000	9	3	3	7	3
1392960600000	3	10	10	14	13
1392960660000	7	4	10	9	9
1392960720000	9	3	4	9	3
1392960780000	5	12	10	3	12
1392960840000	3	5	11	3	7
1392960900000	11	11	4	11	3
1392960960000	8	8	12	11	12
1392961020000	9	14	4	14	10
1392961080000	14	4	11	5	14
1392961140000	12	7	3	6	12
1392961200000	5	4	3	3	3
1392961260000	14	13	14	5	6
1392961320000	14	3	5	12	4
1392961380000	9	10	14	8	14
1392961440000	12	8	5	11	8
1392961500000	3	3	3	8	9
1392961560000	9	14	12	9	3
1392961620000	3	13	10	10	9
1392961680000	14	10	9	12	5
1392961740000	3	13	4	3	9
1392961800000	9	12	13	3	7
1392961860000	9	10	8	14	11
1392961920000	3	4	7	13	5
1392961980000	3	6	4	14	12
1392962040000	3	4	5	5	14
1392962100000	14	14	14	10	5
1392962160000	8	7	13	3	3
1392962220000	3	6	9	4	3
1392962280000	4	5	4	10	4
1392962340000	10	14	3	3	14
1392962400000	6	13	9	3	14
1392962460000	4	13	7	3	3
1392962520000	3	3	13	10	7
1392962580000	5	5	5	12	9
1392962640000	8	9	12	14	10
1392962700000	3	12	4	12	9
1392962760000	4	5	3	14	11
1392962820000	4	8	7	5	3
1392962880000	12	4	12	9	7
1392962940000	7	11	7	5	14
1392963000000	3	6	3	10	6
1392963060000	6	3	14	12	8
1392963120000	4	8	13	11	11
1392963180000	10	9	13	10	14
1392963240000	13	5	5	5	13
1392963300000	3	12	9	3	13
1392963360000	11	12	6	11	12
1392963420000	13	6	3	14	11
1392963480000	12	8	3	8	14
1392963540000	3	3	5	4	3
1392963600000	9	12	6	11	10
1392963660000	5	3	3	12	9
1392963720000	6	10	7	3	3
1392963780000	4	10	8	12	5
1392963840000	8	5	3	13	3
1392963900000	3	14	10	10	8
1392963960000	8	10	4	11	8
1392964020000	4	4	11	3	11
1392964080000	12	3	4	12	13
1392964140000	3	10	3	9	9
1392964200000	4	3	5	5	11
1392964260000	13	4	7	7	13
1392964320000	3	3	12	14	3
1392964380000	12	9	5	11	4
1392964440000	4	6	14	14	10
1392964500000	11	11	10	3	9
1392964560000	8	8	4	10	10
1392964620000	5	9	6	8	13
1392964680000	10	14	3	9	7
1392964740000	4	3	5	7	3
1392964800000	6	14	8	3	14
1392964860000	5	3	5	3	11
1392964920000	7	7	4	11	14
1392964980000	5	11	8	9	5
1392965040000	10	14	13	6	6
1392965100000	9	13	4	14	13
1392965160000	8	5	14	3	4
1392965220000	13	5	6	3	3
1392965280000	4	6	10	12	6
1392965340000	11	12	4	13	3
1392965400000	6	10	10	7	12
1392965460000	4	13	3	11	13
1392965520000	5	3	10	10	13
1392965580000	3	5	3	4	9
1392965640000	5	12	3	3	3
1392965700000	14	3	11	3	14
1392965760000	12	10	4	13	5
1392965820000	5	13	13	3	3
1392965880000	3	3	8	14	9
1392965940000	14	3	14	10	10
1392966000000	7	6	12	3	3
1392966060000	3	9	7	4	7
1392966120000	11	7	4	12	7
1392966180000	6	4	12	7	4
1392966240000	9	4	14	3	3
1392966300000	3	4	3	3	3
1392966360000	13	3	10	10	6
1392966420000	8	14	7	7	11
1392966480000	3	14	6	13	3
1392966540000	3	10	8	6	13
1392966600000	6	8	13	6	13
1392966660000	4	5	12	3	14
1392966720000	3	4	8	3	10
1392966780000	7	14	8	4	10
1392966840000	11	13	3	4	10
1392966900000	3	9	4	6	3
1392966960000	6	9	7	11	7
1392967020000	12	10	9	13	11
1392967080000	3	14	11	14	14
1392967140000	14	5	6	9	9
1392967200000	14	11	8	8	12
1392967260000	7	3	13	6	3
1392967320000	5	9	13	3	3
1392967380000	14	10	8	3	9
1392967440000	4	5	3	4	9
1392967500000	3	3	10	3	13
1392967560000	14	3	12	4	12
1392967620000	3	12	4	10	14
1392967680000	11	3	9	3	12
1392967740000	9	3	3	3	13
1392967800000	4	14	3	3	10
1392967860000	5	3	4	10	5
1392967920000	5	4	13	9	9
1392967980000	3	4	11	4	11
1392968040000	14	6	3	10	12
1392968100000	7	5	7	3	11
1392968160000	9	9	8	10	7
1392968220000	5	4	10	6	10
1392968280000	7	3	6	3	4
1392968340000	14	10	3	7	7
1392968400000	7	3	6	14	9
1392968460000	7	6	5	9	4
1392968520000	4	7	3	4	6
1392968580000	12	9	7	5	3
1392968640000	3	8	3	3	14
1392968700000	4	13	10	3	3
1392968760000	11	6	4	5	14
1392968820000	3	7	3	13	13
1392968880000	7	11	5	9	3
1392968940000	14	10	9	11	14
1392969000000	4	9	5	6	4
1392969060000	3	4	10	11	8
1392969120000	3	3	7	12	11
1392969180000	7	8	12	3	3
1392969240000	3	4	8	5	7
1392969300000	11	11	11	14	11
1392969360000	6	12	4	5	4
1392969420000	11	3	12	14	14
1392969480000	4	3	3	4	6
1392969540000	4	14	8	3	12
1392969600000	7	6	3	3	3
1392969660000	3	13	4	14	3
1392969720000	5	6	13	9	3
1392969780000	9	8	13	13	4
1392969840000	8	14	9	3	7
1392969900000	8	7	8	7	8
1392969960000	3	3	12	7	6
1392970020000	12	5	13	10	5
1392970080000	3	3	7	3	10
1392970140000	7	11	13	7	13
1392970200000	8	12	6	12	14
1392970260000	13	11	9	13	13
1392970320000	9	14	5	14	3
1392970380000	10	14	8	14	6
1392970440000	13	3	3	7	3
1392970500000	9	9	14	8	13
1392970560000	13	7	14	7	11
1392970620000	14	5	13	5	14
1392970680000	9	7	9	3	6
1392970740000	4	3	3	11	5
1392970800000	14	12	13	5	3
1392970860000	5	5	3	5	10
1392970920000	5	3	3	8	10
1392970980000	12	13	11	4	7
1392971040000	7	12	3	4	4
1392971100000	8	3	7	3	4
1392971160000	6	9	13	12	4
1392971220000	14	11	5	7	11
1392971280000	7	3	3	9	7
1392971340000	13	9	5	6	3
1392971400000	8	5	10	8	7
1392971460000	12	4	11	9	14
1392971520000	3	11	11	14	8
1392971580000	10	3	6	7	5
1392971640000	3	7	3	8	5
1392971700000	13	6	3	8	4
1392971760000	4	10	13	8	13
1392971820000	5	8	3	11	3
1392971880000	3	7	12	14	8
1392971940000	9	3	11	3	14
1392972000000	13	8	13	7	11
1392972060000	8	9	4	7	3
1392972120000	3	12	10	4	3
1392972180000	5	3	9	7	12
1392972240000	12	11	12	14	6
1392972300000	8	10	11	6	3
1392972360000	11	3	3	10	14
1392972420000	14	3	3	10	3
1392972480000	5	12	10	5	4
1392972540000	8	3	13	4	3
1392972600000	13	3	5	9	8
1392972660000	7	4	4	5	14
1392972720000	7	11	4	5	14
1392972780000	9	9	11	6	12
1392972840000	11	8	10	9	7
1392972900000	3	10	4	6	4
1392972960000	10	7	12	4	11
1392973020000	13	13	14	3	3
1392973080000	4	14	14	11	8
1392973140000	13	8	5	7	11
1392973200000	8	6	9	10	3
1392973260000	3	14	7	6	7
1392973320000	13	11	6	11	6
1392973380000	11	7	3	5	14
1392973440000	13	7	10	13	12
1392973500000	10	4	9	10	7
1392973560000	8	3	13	3	10
1392973620000	12	12	3	3	11
1392973680000	5	10	9	6	3
1392973740000	8	11	11	3	10
1392973800000	8	9	9	13	8
1392973860000	13	8	10	3	5
1392973920000	4	12	9	3	13
1392973980000	10	13	3	9	13
1392974040000	3	3	3	14	3
1392974100000	14	8	11	3	12
1392974160000	14	4	8	4	11
1392974220000	9	7	6	4	3
1392974280000	5	6	13	5	5
1392974340000	13	12	9	9	8
1392974400000	3	3	3	3	3
1392974460000	7	4	13	10	10
1392974520000	11	14	9	4	11
1392974580000	3	10	7	3	11
1392974640000	3	3	4	11	5
1392974700000	9	9	4	8	11
1392974760000	3	11	3	9	8
1392974820000	13	3	11	14	6
1392974880000	14	3	3	14	6
1392974940000	12	3	6	11	5
1392975000000	10	3	11	3	9
1392975060000	11	8	3	8	3
1392975120000	3	5	10	5	12
1392975180000	12	13	10	3	6
1392975240000	7	6	14	4	10
1392975300000	6	13	11	10	3
1392975360000	3	8	14	6	12
1392975420000	9	3	8	12	4
1392975480000	6	3	6	4	8
1392975540000	9	6	14	9	13
1392975600000	5	6	13	13	4
1392975660000	5	3	8	6	7
1392975720000	9	4	12	7	3
1392975780000	4	14	11	3	10
1392975840000	11	12	3	7	3
1392975900000	10	3	3	14	8
1392975960000	13	7	10	3	8
1392976020000	14	14	7	3	11
1392976080000	12	3	11	13	7
1392976140000	13	7	4	14	6
1392976200000	6	3	10	3	7
1392976260000	4	6	5	9	3
1392976320000	3	5	8	5	8
1392976380000	9	5	12	4	10
1392976440000	3	3	4	8	10
1392976500000	3	8	3	8	7
1392976560000	6	14	9	9	6
1392976620000	3	3	12	3	7
1392976680000	3	11	4	11	14
1392976740000	9	14	10	9	13
1392976800000	14	6	9	11	10
1392976860000	14	9	3	12	10
1392976920000	5	14	3	5	13
1392976980000	4	8	6	3	8
1392977040000	3	11	12	9	3
1392977100000	13	9	9	3	3
1392977160000	14	3	11	3	4
1392977220000	8	11	6	7	7
1392977280000	7	14	4	3	6
1392977340000	3	9	13	6	10
1392977400000	8	11	13	9	8
1392977460000	6	13	10	5	11
1392977520000	4	8	7	11	7
1392977580000	6	7	12	11	11
1392977640000	4	7	7	14	6
1392977700000	8	3	13	3	5
1392977760000	10	13	3	13	7
1392977820000	10	13	11	5	8
1392977880000	3	4	3	4	9
1392977940000	12	12	4	9	11
